set3_id,DataVizRoles_collapsed,RoleAsFreelance,RoleAsEmployee,YearsDataVizExperience_buckets,PayCurrency_cleaned,PayAnnual,PayHourly,PayComparison,Loc1Country,OrgIndustry_,OrgIndustry_Finance,OrgIndustry_HealthMed,OrgIndustry_IT,OrgIndustry_Journalism,OrgIndustry_Marketing,OrgIndustry_ConsultantMulti,OrgIndustry_Other__,OrgSize,EmployChanged,EmployNewWanted,EducLevel,Gender_summarized
PxEF,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],higher education,"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Woman
yQeI,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Somewhat higher,United States,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,No,Bachelor’s degree,Man
dEeO,EmployeeAND,[\unasked],Scientist,Less than 1 year,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Master’s (or similar graduate degree),Woman
Psbl,Student,[\unasked],Analyst,1-5,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],International Development,"1,000–4,999 employees",No,No,Bachelor’s degree,Woman
Ivqh,Employee,[\unasked],Developer,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,Yes,Yes,Master’s (or similar graduate degree),Woman
QXjY,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Law,"1,000–4,999 employees",Yes,No,Bachelor’s degree,Woman
XqvF,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],500–999 employees,No,No,Master’s (or similar graduate degree),Woman
TTJx,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$80,000 - $99,999",[^not answered],[^not answered],United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Don’t know,No,No,Master’s (or similar graduate degree),Man
GezP,EmployeeANDFreelanceAND,[\unasked],Designer,16-20,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,No,Master’s (or similar graduate degree),Woman
yfHD,Employee,[\unasked],None of these describes my role,6-10,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,[^not answered],United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Program Evaluation; Public Health,Fewer than 20 employees,No,Yes,Master’s (or similar graduate degree),Woman
wKmJ,Employee,[\unasked],Analyst,6-10,AUD - Australia Dollar,"$40,000 - $59,999",[^not answered],Somewhat lower,Belgium,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,Yes,No,Bachelor’s degree,Woman
BaTj,Employee,[\unasked],Scientist,6-10,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Public Health,"1,000–4,999 employees",No,No,Master’s (or similar graduate degree),Woman
eZrk,FreelanceAND,[\unasked],"Leadership (Manager, Director, VP, etc.)",16-20,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],100–499 employees,Yes,No,Master’s (or similar graduate degree),Woman
wSYX,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,[^not answered],United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Social services; youth,20–99 employees,No,No,Master’s (or similar graduate degree),Self-described or Prefer not to say
BfIL,FreelanceAND,Analyst,Analyst,6-10,USD - United States Dollar,"$40,000 - $59,999",$45 - $59,Much lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Food and agricultural,Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Woman
ksCS,Student,[\unasked],Developer,6-10,USD - United States Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Bachelor’s degree,Man
vzgx,Student,[\unasked],Developer,1-5,USD - United States Dollar,"$80,000 - $99,999",$60 - $74,Much higher,France,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
xLMN,FreelanceAND,[\unasked],None of these describes my role,6-10,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,United States,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Woman
DFcu,Student,[\unasked],Analyst,6-10,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,20–99 employees,No,Yes,Master’s (or similar graduate degree),Woman
lQgm,Student,[\unasked],Analyst,1-5,GBP - United Kingdom Pound,[^not answered],$60 - $74,Similar,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sport,100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
Eyml,Student,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,GBP - United Kingdom Pound,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Somewhat lower,United Kingdom,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Bachelor’s degree,Woman
wNuC,Employee,[\unasked],Designer,1-5,EUR - Euro Member Countries,"$20,000 - $39,999",[^not answered],Somewhat higher,Italy,4,x,x,[^not chosen],[^not chosen],x,x,[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Man
Jynp,Employee,[\unasked],Engineer,6-10,EUR - Euro Member Countries,"$40,000 - $59,999",$30 - $44,Somewhat higher,Portugal,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
uArd,Academic,[\unasked],Analyst,6-10,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],100–499 employees,No,Yes,Master’s (or similar graduate degree),Woman
HPsl,Academic,[\unasked],Analyst,6-10,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education - Consulting,Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Woman
MueN,OtherCombo,[\unasked],Developer,1-5,USD - United States Dollar,"$180,000 - $199,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Man
TvGD,Employee,[\unasked],Developer,21-25,USD - United States Dollar,I am not compensated on a yearly basis,I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Books,Fewer than 20 employees,No,No,Bachelor’s degree,Man
hBJK,Freelance,Analyst,Analyst,16-20,USD - United States Dollar,"$10,000 - $19,999",Less than $15,Somewhat higher,Uzbekistan,4,x,x,x,[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,Yes,Yes,Master’s (or similar graduate degree),Man
miPb,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$240,000 or more",I am not compensated on an hourly or project basis,Somewhat higher,United States,2,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],Entertainment,"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
VTgo,Employee,Designer,Developer,11-15,USD - United States Dollar,"$100,000 - $119,999",$60 - $74,[^not answered],United States,2,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,x,[^not chosen],100–499 employees,Yes,No,Master’s (or similar graduate degree),Woman
aQVK,Employee,[\unasked],Analyst,6-10,NZD - New Zealand Dollar,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Similar,New Zealand,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
FJae,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",11-15,EUR - Euro Member Countries,"$80,000 - $99,999",[^not answered],Similar,Germany,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Bachelor’s degree,Woman
mxoe,Employee,[\unasked],Designer,16-20,CHF - Switzerland Franc,I am not compensated on a yearly basis,I am not compensated on an hourly or project basis,Somewhat lower,Switzerland,2,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Culture,Fewer than 20 employees,No,Yes,Master’s (or similar graduate degree),Woman
fxDQ,Freelance,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Insurance,"5,000+ employees",No,No,Bachelor’s degree,Man
UnHj,EmployeeAND,[\unasked],Journalist,1-5,RUB - Russia Ruble,"$20,000 - $39,999",[^not answered],Similar,Italy,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,No,Bachelor’s degree,Woman
WUhr,Student,Designer,None of these describes my role,1-5,USD - United States Dollar,"$60,000 - $79,999",$60 - $74,[^not answered],United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Self-described or Prefer not to say
YBST,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$180,000 - $199,999",[^not answered],Much higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],CPG,"5,000+ employees",Yes,No,Bachelor’s degree,Woman
DiKr,Employee,[\unasked],Designer,Less than 1 year,EUR - Euro Member Countries,"$20,000 - $39,999",I am not compensated on an hourly or project basis,Much lower,Italy,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],"1,000–4,999 employees",Yes,No,Master’s (or similar graduate degree),Woman
efAN,Hobbyist,[\unasked],Developer,1-5,EUR - Euro Member Countries,"$20,000 - $39,999",[^not answered],Similar,Portugal,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,Yes,Master’s (or similar graduate degree),Woman
lmyb,Employee,[\unasked],Analyst,1-5,EUR - Euro Member Countries,"$20,000 - $39,999",[^not answered],Somewhat higher,Latvia,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Self-described or Prefer not to say
fjGC,Skipped question,[\unasked],None of these describes my role,1-5,GBP - United Kingdom Pound,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Similar,United Kingdom,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Advertising,100–499 employees,No,No,Master’s (or similar graduate degree),Man
dAXr,Employee,[\unasked],Analyst,1-5,RUB - Russia Ruble,"Less than $10,000",Less than $15,Much lower,Russia,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,"1,000–4,999 employees",Yes,Yes,Master’s (or similar graduate degree),Woman
QLVS,Freelance,[\unasked],Analyst,6-10,RUB - Russia Ruble,"$10,000 - $19,999",[^not answered],Somewhat lower,Russia,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Woman
Bqnc,EmployeeANDFreelanceAND,[\unasked],Analyst,1-5,PLN - Poland Zloty,"$20,000 - $39,999",[^not answered],Somewhat lower,Poland,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Services,"1,000–4,999 employees",Yes,Yes,Bachelor’s degree,Woman
AJce,Hobbyist,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,EUR - Euro Member Countries,"$120,000 - $139,999",[^not answered],Similar,Germany,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Master’s (or similar graduate degree),Man
pvAp,Academic,[\unasked],None of these describes my role,1-5,EUR - Euro Member Countries,"$60,000 - $79,999",[^not answered],Similar,Germany,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,High school diploma,Man
oFPW,Academic,[\unasked],Analyst,21-25,RUB - Russia Ruble,"Less than $10,000",I am not compensated on an hourly or project basis,Similar,Russia,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Woman
eJcA,Employee,[\unasked],None of these describes my role,1-5,GBP - United Kingdom Pound,"$40,000 - $59,999",[^not answered],Somewhat lower,United Kingdom,3,[^not chosen],[^not chosen],x,[^not chosen],x,x,[^not chosen],100–499 employees,No,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
gllG,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,EUR - Euro Member Countries,"$20,000 - $39,999",$15 - $29,Somewhat lower,Ukraine,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Woman
MEHJ,Employee,Developer,Designer,6-10,RUB - Russia Ruble,"$40,000 - $59,999",[^not answered],Somewhat higher,Russia,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",Yes,No,Master’s (or similar graduate degree),Man
VKVR,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,No,Yes,Master’s (or similar graduate degree),Man
vLRt,Employee,[\unasked],Analyst,1-5,AUD - Australia Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Similar,Australia,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
hmgv,Employee,[\unasked],Designer,1-5,USD - United States Dollar,"$140,000 - $159,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],"1,000–4,999 employees",No,No,Bachelor’s degree,Man
oqoJ,Employee,[\unasked],Analyst,11-15,USD - United States Dollar,"$40,000 - $59,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Legal,500–999 employees,No,Yes,Bachelor’s degree,Woman
ccWh,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$120,000 - $139,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Social service nonprofit and grantmaking,100–499 employees,Yes,No,Master’s (or similar graduate degree),Woman
SAGT,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Property & Casualty Insurance,"5,000+ employees",No,No,Bachelor’s degree,Man
TvAL,Student,[\unasked],Designer,Less than 1 year,USD - United States Dollar,"$160,000 - $179,999",I am not compensated on an hourly or project basis,Much higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Entertainment,"5,000+ employees",Yes,No,Master’s (or similar graduate degree),Woman
sPcJ,Employee,[\unasked],Analyst,Less than 1 year,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],education,500–999 employees,Yes,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
Skmn,EmployeeAND,[\unasked],Developer,11-15,BRL - Brazil Real,I am not compensated on a yearly basis,I am not compensated on an hourly or project basis,Somewhat higher,Brazil,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Tech,"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Man
qZSB,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Self-described or Prefer not to say
NmUS,EmployeeAND,[\unasked],Engineer,1-5,USD - United States Dollar,"$200,000 - $219,999",[^not answered],[^not answered],United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Woman
LJpv,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$80,000 - $99,999",[^not answered],Somewhat lower,United States,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Bachelor’s degree,Woman
UDLs,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Somewhat higher,United States,2,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Social Services,100–499 employees,No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
muSo,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,No,No,Master’s (or similar graduate degree),Man
cOvT,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,"1,000–4,999 employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
JBdV,EmployeeAND,[\unasked],Designer,Less than 1 year,AUD - Australia Dollar,"$160,000 - $179,999",[^not answered],Much higher,Australia,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
YUUE,Employee,[\unasked],Analyst,1-5,EUR - Euro Member Countries,"$20,000 - $39,999",[^not answered],Similar,Slovakia,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,Yes,Master’s (or similar graduate degree),Woman
jsEo,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
ZhGP,EmployeeAND,[\unasked],Analyst,6-10,USD - United States Dollar,"$100,000 - $119,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Woman
bVXS,EmployeeAND,[\unasked],Designer,6-10,USD - United States Dollar,"$20,000 - $39,999",I am not compensated on an hourly or project basis,Somewhat higher,Ecuador,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],100–499 employees,No,Yes,Bachelor’s degree,Woman
ZSOd,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Public Health,20–99 employees,No,No,Master’s (or similar graduate degree),Woman
hMxZ,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],100–499 employees,No,No,Master’s (or similar graduate degree),Man
XaGd,Freelance,[\unasked],Designer,6-10,BRL - Brazil Real,"$20,000 - $39,999",I am not compensated on an hourly or project basis,Somewhat higher,Brazil,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],National statistics,"5,000+ employees",No,No,Master’s (or similar graduate degree),Man
bfWd,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Similar,United States,0,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,Master’s (or similar graduate degree),Woman
kJNq,Employee,Analyst,Teacher,1-5,USD - United States Dollar,"$60,000 - $79,999",[^not answered],[^not answered],United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],Fewer than 20 employees,No,No,Master’s (or similar graduate degree),Self-described or Prefer not to say
eaNd,Academic,[\unasked],"Leadership (Manager, Director, VP, etc.)",11-15,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Similar,United States,2,[^not chosen],x,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,Yes,Master’s (or similar graduate degree),Woman
Jynt,EmployeeAND,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$160,000 - $179,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"1,000–4,999 employees",No,No,Bachelor’s degree,Man
wMEM,Employee,Designer,Designer,1-5,USD - United States Dollar,"$120,000 - $139,999",$200 - $224,Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Bachelor’s degree,Woman
AuYR,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,100–499 employees,No,Yes,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
HkjN,Academic,[\unasked],Designer,1-5,EUR - Euro Member Countries,"$60,000 - $79,999",$100 - $124,Similar,France,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Fewer than 20 employees,Yes,Yes,High school diploma,Woman
yJog,Employee,[\unasked],Analyst,1-5,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Much lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],higher education,500–999 employees,No,No,Master’s (or similar graduate degree),Woman
fcxh,Employee,[\unasked],Engineer,1-5,EUR - Euro Member Countries,"$20,000 - $39,999",[^not answered],Similar,Spain,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],20–99 employees,No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
BbUR,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",Less than 1 year,USD - United States Dollar,"$220,000 - $239,999",I am not compensated on an hourly or project basis,Similar,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
HLUc,Employee,[\unasked],"Leadership (Manager, Director, VP, etc.)",1-5,USD - United States Dollar,"$120,000 - $139,999",[^not answered],Similar,United States,2,[^not chosen],[^not chosen],x,[^not chosen],x,[^not chosen],[^not chosen],"1,000–4,999 employees",Yes,No,Master’s (or similar graduate degree),Man
eUoS,Employee,[\unasked],,1-5,USD - United States Dollar,"$60,000 - $79,999",[^not answered],[^not answered],United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],x,[^not chosen],20–99 employees,No,Yes,Master’s (or similar graduate degree),Woman
AUpJ,Employee,[\unasked],Developer,1-5,USD - United States Dollar,"$100,000 - $119,999",[^not answered],Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Higher education,20–99 employees,No,Yes,Master’s (or similar graduate degree),Man
oRwv,Academic,[\unasked],Analyst,6-10,USD - United States Dollar,"$60,000 - $79,999",[^not answered],Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,Yes,Master’s (or similar graduate degree),Man
wTGw,Employee,[\unasked],Engineer,21-25,[^not answered],[^not answered],[^not answered],[^not answered],[^not answered],1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,No,No,Bachelor’s degree,Man
bMBR,Hobbyist,[\unasked],"Leadership (Manager, Director, VP, etc.)",6-10,USD - United States Dollar,"$220,000 - $239,999",[^not answered],Similar,United States,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],100–499 employees,Yes,No,Bachelor’s degree,Man
JRRX,EmployeeAND,[\unasked],Analyst,6-10,USD - United States Dollar,"$60,000 - $79,999",I am not compensated on an hourly or project basis,Somewhat lower,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Education,"1,000–4,999 employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Woman
kEli,Employee,[\unasked],Scientist,11-15,USD - United States Dollar,"$240,000 or more",I am not compensated on an hourly or project basis,Somewhat higher,United States,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],"5,000+ employees",No,No,"Doctoral degree (e.g., PhD, EdD, PsyD)",Man
Jssh,Academic,[\unasked],Analyst,6-10,USD - United States Dollar,"$80,000 - $99,999",I am not compensated on an hourly or project basis,Somewhat higher,United States,1,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Association/Regulation,100–499 employees,No,Yes,Master’s (or similar graduate degree),Woman
